time,GroundwaterFlowToSea,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,PumpDischarge,SeaHeadDifference
2000-01-01 00:00:00,1.480000,4.200000,6.128100,52500000.000000,0.500000,3.700000
2000-01-08 00:00:00,1.485965,4.214913,6.128100,52686418.627891,5.666097,3.714913
2000-01-15 00:00:00,1.493546,4.233865,6.128100,52923307.000983,5.757126,3.733865
2000-01-22 00:00:00,1.505970,4.264925,6.128100,53311560.681415,6.019824,3.764925
2000-01-29 00:00:00,1.530100,4.325249,6.128100,54065613.498287,6.648780,3.825249
2000-02-05 00:00:00,1.509009,4.272523,1.920000,53406532.291375,8.499258,3.772523
2000-02-12 00:00:00,1.485726,4.214315,0.192000,52678939.004482,10.090695,3.714315
2000-02-19 00:00:00,1.467885,4.169711,0.019200,52121391.267488,10.526813,3.669711
2000-02-26 00:00:00,1.437079,4.092698,0.001920,51158730.041827,9.843458,3.592698
2000-03-04 00:00:00,1.462791,4.156978,4.910000,51962222.170359,7.881316,3.656978
2000-03-11 00:00:00,1.476765,4.191912,4.910000,52398901.273253,7.288787,3.691912
2000-03-18 00:00:00,1.488396,4.220991,4.910000,52762390.085668,7.179403,3.720991
2000-03-25 00:00:00,1.504891,4.262228,4.910000,53277844.635525,7.447164,3.762228
2000-04-01 00:00:00,1.504220,4.260550,3.045000,53256878.833103,8.424554,3.760550
2000-04-08 00:00:00,1.527416,4.318540,3.045000,53981751.429811,9.680949,3.818540
2000-04-15 00:00:00,1.546247,4.365618,3.045000,54570226.687140,9.474255,3.865618
2000-04-22 00:00:00,1.562332,4.405831,3.045000,55072890.088105,9.348456,3.905831
2000-04-29 00:00:00,1.570429,4.426072,3.045000,55325895.455930,8.943758,3.926072
2000-05-06 00:00:00,1.566549,4.416372,1.780000,55204655.824071,9.586087,3.916372
2000-05-13 00:00:00,1.565691,4.414228,1.780000,55177849.333491,9.741368,3.914228
2000-05-20 00:00:00,1.565539,4.413847,1.780000,55173093.743425,9.777676,3.913847
2000-05-27 00:00:00,1.565673,4.414182,1.780000,55177273.735235,9.792584,3.914182
2000-06-03 00:00:00,1.565519,4.413796,1.730000,55172454.526010,9.827550,3.913796
2000-06-10 00:00:00,1.565614,4.414035,1.730000,55175440.208916,9.840551,3.914035
2000-06-17 00:00:00,1.566230,4.415575,1.730000,55194683.886992,9.868048,3.915575
2000-06-24 00:00:00,1.569137,4.422844,1.730000,55285546.436933,9.989373,3.922844
2000-07-01 00:00:00,1.565901,4.414752,0.805000,55184399.223530,10.593660,3.914752
2000-07-08 00:00:00,1.564574,4.411436,0.805000,55142952.315990,10.691045,3.911436
2000-07-15 00:00:00,1.560814,4.402036,0.805000,55025448.742425,10.561529,3.902036
2000-07-22 00:00:00,1.524516,4.311289,0.805000,53891109.616716,9.843955,3.811289
2000-07-29 00:00:00,1.479984,4.199960,0.805000,52499493.854855,9.374032,3.699960
2000-08-05 00:00:00,1.448692,4.121729,2.330000,51521617.737272,8.501833,3.621729
2000-08-12 00:00:00,1.427468,4.068671,2.330000,50858386.521203,9.000856,3.568671
2000-08-19 00:00:00,1.419884,4.049710,2.330000,50621379.552910,9.698008,3.549710
2000-08-26 00:00:00,1.422677,4.056693,2.330000,50708665.872336,10.237000,3.556693
2000-09-02 00:00:00,1.408158,4.020396,0.690000,50254945.526038,10.967959,3.520396
2000-09-09 00:00:00,1.397589,3.993971,0.690000,49924642.411231,11.161452,3.493971
2000-09-16 00:00:00,1.401650,4.004125,0.690000,50051565.557400,10.921510,3.504125
2000-09-23 00:00:00,1.404197,4.010493,0.690000,50131160.822414,10.845803,3.510493
2000-09-30 00:00:00,1.407169,4.017923,0.690000,50224035.294679,10.870731,3.517923
2000-10-07 00:00:00,1.451607,4.129018,2.730000,51612727.718038,11.017726,3.629018
2000-10-14 00:00:00,1.463466,4.158664,2.730000,51983300.134386,9.346185,3.658664
2000-10-21 00:00:00,1.460633,4.151584,2.730000,51894796.415686,8.584298,3.651584
2000-10-28 00:00:00,1.443334,4.108334,2.730000,51354178.580531,7.819455,3.608334
2000-11-04 00:00:00,1.460089,4.150221,5.657000,51877767.969717,6.668812,3.650221
2000-11-11 00:00:00,1.466849,4.167122,5.657000,52089030.417966,6.159159,3.667122
2000-11-18 00:00:00,1.467608,4.169020,5.657000,52112749.084008,5.849825,3.669020
2000-11-25 00:00:00,1.463211,4.158028,5.657000,51975351.777049,5.579033,3.658028
2000-12-02 00:00:00,1.476242,4.190605,6.896200,52382568.120247,5.253350,3.690605
2000-12-09 00:00:00,1.487253,4.218131,6.896200,52726641.952310,5.159958,3.718131
2000-12-16 00:00:00,1.499728,4.249320,6.896200,53116497.101116,5.248130,3.749320
2000-12-23 00:00:00,1.518188,4.295471,6.896200,53693385.939999,5.575839,3.795471
2000-12-30 00:00:00,1.552434,4.381085,6.896200,54763565.667940,6.425711,3.881085
2001-01-06 00:00:00,1.591824,4.479560,4.115000,55994497.179092,9.512094,3.979560
