time,GroundwaterFlowToSea,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverIntakeDischarge,SeaHeadDifference
2000-01-01 00:00:00,1.480000,4.200000,6.128100,52500000.000000,28.620397,3.700000
2000-01-08 00:00:00,1.539972,4.349930,6.128100,54374120.900925,8.510617,3.849930
2000-01-15 00:00:00,1.543307,4.358267,6.128100,54478334.783820,5.587518,3.858267
2000-01-22 00:00:00,1.551319,4.378297,6.128100,54728717.039869,5.837211,3.878297
2000-01-29 00:00:00,1.565634,4.414084,6.128100,55176051.209768,6.177173,3.914084
2000-02-05 00:00:00,1.508834,4.272085,1.920000,53401060.108057,6.653994,3.772085
2000-02-12 00:00:00,1.429075,4.072687,0.192000,50908583.563880,7.115916,3.572687
2000-02-19 00:00:00,1.349405,3.873513,0.019200,48418907.245842,7.213677,3.373513
2000-02-26 00:00:00,1.270266,3.675664,0.001920,45945797.457542,7.179209,3.175664
2000-03-04 00:00:00,1.284914,3.712285,4.910000,46403560.912440,7.131798,3.212285
2000-03-11 00:00:00,1.298393,3.745983,4.910000,46824781.980904,7.084856,3.245983
2000-03-18 00:00:00,1.312238,3.780596,4.910000,47257446.017022,7.117622,3.280596
2000-03-25 00:00:00,1.326076,3.815189,4.910000,47689863.576079,7.131052,3.315189
2000-04-01 00:00:00,1.307971,3.769928,3.045000,47124100.162241,7.327516,3.269928
2000-04-08 00:00:00,1.293756,3.734390,3.045000,46679878.455186,7.514263,3.234390
2000-04-15 00:00:00,1.284351,3.710877,3.045000,46385960.093361,7.753375,3.210877
2000-04-22 00:00:00,1.280335,3.700837,3.045000,46260466.448776,8.027839,3.200837
2000-04-29 00:00:00,1.281733,3.704333,3.045000,46304168.375300,8.308992,3.204333
2000-05-06 00:00:00,1.264277,3.660692,1.780000,45758645.846755,8.582288,3.160692
2000-05-13 00:00:00,1.251863,3.629657,1.780000,45370713.650906,8.830441,3.129657
2000-05-20 00:00:00,1.243763,3.609406,1.780000,45117580.243228,9.045222,3.109406
2000-05-27 00:00:00,1.239252,3.598131,1.780000,44976633.238190,9.226205,3.098131
2000-06-03 00:00:00,1.236849,3.592122,1.730000,44901522.192525,9.382657,3.092122
2000-06-10 00:00:00,1.237238,3.593095,1.730000,44913691.017604,9.527359,3.093095
2000-06-17 00:00:00,1.240387,3.600967,1.730000,45012087.073723,9.673079,3.100967
2000-06-24 00:00:00,1.246414,3.616036,1.730000,45200451.559430,9.827864,3.116036
2000-07-01 00:00:00,1.237862,3.594655,0.805000,44933190.231898,9.990962,3.094655
2000-07-08 00:00:00,1.232431,3.581077,0.805000,44763460.506507,10.146793,3.081077
2000-07-15 00:00:00,1.229581,3.573952,0.805000,44674401.470643,10.277327,3.073952
2000-07-22 00:00:00,1.209452,3.523631,0.805000,44045389.896311,10.364420,3.023631
2000-07-29 00:00:00,1.190085,3.475213,0.805000,43440162.603516,10.384379,2.975213
2000-08-05 00:00:00,1.199272,3.498181,2.330000,43727263.193931,10.343976,2.998181
2000-08-12 00:00:00,1.207389,3.518472,2.330000,43980897.810617,10.296758,3.018472
2000-08-19 00:00:00,1.214855,3.537137,2.330000,44214216.969679,10.270634,3.037137
2000-08-26 00:00:00,1.222012,3.555030,2.330000,44437870.503437,10.261809,3.055030
2000-09-02 00:00:00,1.197461,3.493652,0.690000,43670645.976738,10.238902,2.993652
2000-09-09 00:00:00,1.171423,3.428558,0.690000,42856977.088749,10.136071,2.928558
2000-09-16 00:00:00,1.160735,3.401836,0.690000,42522954.409587,9.918448,2.901836
2000-09-23 00:00:00,1.144315,3.360789,0.690000,42009857.631768,9.605941,2.860789
2000-09-30 00:00:00,1.120874,3.302185,0.690000,41277318.382581,9.219665,2.802185
2000-10-07 00:00:00,1.128319,3.320797,2.730000,41509963.307539,8.782983,2.820797
2000-10-14 00:00:00,1.127640,3.319101,2.730000,41488759.462300,8.362581,2.819101
2000-10-21 00:00:00,1.119490,3.298725,2.730000,41234066.490824,7.968371,2.798725
2000-10-28 00:00:00,1.104542,3.261356,2.730000,40766949.832031,7.602193,2.761356
2000-11-04 00:00:00,1.138976,3.347439,5.657000,41842986.140233,7.261136,2.847439
2000-11-11 00:00:00,1.168089,3.420221,5.657000,42752765.849049,7.015354,2.920221
2000-11-18 00:00:00,1.193670,3.484174,5.657000,43552180.631567,6.858453,2.984174
2000-11-25 00:00:00,1.217364,3.543410,5.657000,44292622.043893,6.784639,3.043410
2000-12-02 00:00:00,1.264425,3.661063,6.896200,45763284.800527,6.799876,3.161063
2000-12-09 00:00:00,1.313425,3.783562,6.896200,47294521.309700,6.949031,3.283562
2000-12-16 00:00:00,1.367747,3.919367,6.896200,48992093.408417,7.278379,3.419367
2000-12-23 00:00:00,1.432662,4.081654,6.896200,51020676.249976,7.890600,3.581654
2000-12-30 00:00:00,1.518800,4.296999,6.896200,53712484.878015,9.073341,3.796999
2001-01-06 00:00:00,1.605019,4.512548,4.115000,56406851.992681,11.944991,4.012548
