time,GroundwaterBalanceIn,GroundwaterBalanceOut,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverAquiferFlow,RiverAquiferHeadDifference,RiverIntakeDischarge
2000-01-01 00:00:00,12.321414,8.530000,4.200000,6.128100,52500000.000000,1.480000,3.700000,5.793314
2000-01-08 00:00:00,10.445891,8.481991,4.295021,6.128100,53687766.674443,1.518009,3.795021,3.917791
2000-01-15 00:00:00,10.335103,8.445419,4.386452,6.128100,54830647.466826,1.554581,3.886452,3.807003
2000-01-22 00:00:00,10.428034,8.406291,4.484272,6.128100,56053397.519360,1.593709,3.984272,3.899934
2000-01-29 00:00:00,10.578462,8.363422,4.591444,6.128100,57393053.441174,1.636578,4.091444,4.050362
2000-02-05 00:00:00,6.549315,8.399225,4.501938,1.920000,56274228.245516,1.600775,4.001938,4.229315
2000-02-12 00:00:00,4.996576,8.466378,4.334055,0.192000,54175691.942328,1.533622,3.834055,4.404576
2000-02-19 00:00:00,4.980897,8.535166,4.162086,0.019200,52026070.142151,1.464834,3.662086,4.561697
2000-02-26 00:00:00,5.103759,8.602886,3.992784,0.001920,49909797.735263,1.397114,3.492784,4.701839
2000-03-04 00:00:00,10.117701,8.572991,4.067523,4.910000,50844038.409019,1.427009,3.567523,4.807701
2000-03-11 00:00:00,10.270987,8.539480,4.151300,4.910000,51891254.221052,1.460520,3.651300,4.960987
2000-03-18 00:00:00,10.448649,8.501801,4.245497,4.910000,53068707.967609,1.498199,3.745497,5.138649
2000-03-25 00:00:00,10.647758,8.459450,4.351376,4.910000,54392196.658654,1.540550,3.851376,5.337758
2000-04-01 00:00:00,9.017591,8.448434,4.378914,3.045000,54736422.768066,1.551566,3.878914,5.572591
2000-04-08 00:00:00,9.252297,8.432570,4.418575,3.045000,55232193.542191,1.567430,3.918575,5.807297
2000-04-15 00:00:00,9.551657,8.410484,4.473790,3.045000,55922374.718725,1.589516,3.973790,6.106657
2000-04-22 00:00:00,9.925367,8.380587,4.548533,3.045000,56856657.972767,1.619413,4.048533,6.480367
2000-04-29 00:00:00,10.347774,8.341763,4.645591,3.045000,58069893.466235,1.658237,4.145591,6.902774
2000-05-06 00:00:00,9.577868,8.317368,4.706579,1.780000,58832243.622349,1.682632,4.206579,7.397868
2000-05-13 00:00:00,10.096723,8.282252,4.794371,1.780000,59929636.118938,1.717748,4.294371,7.916723
2000-05-20 00:00:00,10.516424,8.238159,4.904602,1.780000,61307531.089793,1.761841,4.404602,8.336424
2000-05-27 00:00:00,10.897051,8.185684,5.035789,1.780000,62947365.920834,1.814316,4.535789,8.717051
2000-06-03 00:00:00,6.473676,8.219472,4.951321,1.730000,61891508.625490,1.780528,4.451321,4.343676
2000-06-10 00:00:00,6.610221,8.251231,4.871922,1.730000,60899025.730613,1.748769,4.371922,4.480221
2000-06-17 00:00:00,6.731788,8.281218,4.796954,1.730000,59961930.020174,1.718782,4.296954,4.601788
