time,GroundwaterBalanceIn,GroundwaterBalanceOut,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverAquiferFlow,RiverAquiferHeadDifference,RiverIntakeDischarge
2000-01-01 00:00:00,6.528100,8.530000,4.200000,6.128100,52500000.000000,1.480000,3.700000,-0.000000
2000-01-08 00:00:00,10.547439,8.479987,4.300032,6.128100,53750395.008317,1.520013,3.800032,4.019339
2000-01-15 00:00:00,8.479986,8.479987,4.300032,6.128100,53750393.870360,1.520013,3.800032,1.951886
2000-01-22 00:00:00,8.479988,8.479987,4.300032,6.128100,53750394.077883,1.520013,3.800032,1.951888
2000-01-29 00:00:00,8.479988,8.479987,4.300032,6.128100,53750394.401050,1.520013,3.800032,1.951888
2000-02-05 00:00:00,8.479987,8.479987,4.300032,1.920000,53750393.901893,1.520013,3.800032,6.159987
2000-02-12 00:00:00,8.479987,8.479987,4.300032,0.192000,53750393.952743,1.520013,3.800032,7.887987
2000-02-19 00:00:00,8.479987,8.479987,4.300032,0.019200,53750393.928595,1.520013,3.800032,8.060787
2000-02-26 00:00:00,8.479989,8.479987,4.300032,0.001920,53750394.778596,1.520013,3.800032,8.078069
2000-03-04 00:00:00,8.479986,8.479987,4.300032,4.910000,53750393.881062,1.520013,3.800032,3.169986
2000-03-11 00:00:00,8.479988,8.479987,4.300032,4.910000,53750393.953113,1.520013,3.800032,3.169988
2000-03-18 00:00:00,8.479987,8.479987,4.300032,4.910000,53750394.018434,1.520013,3.800032,3.169987
2000-03-25 00:00:00,8.479987,8.479987,4.300032,4.910000,53750393.850712,1.520013,3.800032,3.169987
2000-04-01 00:00:00,8.479988,8.479987,4.300032,3.045000,53750393.995541,1.520013,3.800032,5.034988
2000-04-08 00:00:00,8.479987,8.479987,4.300032,3.045000,53750393.916772,1.520013,3.800032,5.034987
2000-04-15 00:00:00,8.479987,8.479987,4.300032,3.045000,53750393.892311,1.520013,3.800032,5.034987
2000-04-22 00:00:00,8.479987,8.479987,4.300032,3.045000,53750393.860529,1.520013,3.800032,5.034987
2000-04-29 00:00:00,8.479987,8.479987,4.300032,3.045000,53750393.868601,1.520013,3.800032,5.034987
2000-05-06 00:00:00,8.479987,8.479987,4.300032,1.780000,53750393.864538,1.520013,3.800032,6.299987
2000-05-13 00:00:00,8.479987,8.479987,4.300032,1.780000,53750393.866484,1.520013,3.800032,6.299987
2000-05-20 00:00:00,8.479988,8.479987,4.300032,1.780000,53750394.075436,1.520013,3.800032,6.299988
2000-05-27 00:00:00,14.551084,8.360171,4.599573,1.780000,57494658.592914,1.639829,4.099573,12.371084
2000-06-03 00:00:00,10.129780,8.325247,4.686883,1.730000,58586040.623772,1.674753,4.186883,7.999780
2000-06-10 00:00:00,10.129887,8.289631,4.775922,1.730000,59699027.076870,1.710369,4.275922,7.999887
2000-06-17 00:00:00,10.129710,8.253316,4.866710,1.730000,60833869.795178,1.746684,4.366710,7.999710
2000-06-24 00:00:00,10.130000,8.216279,4.959303,1.730000,61991288.149645,1.783721,4.459303,8.000000
2000-07-01 00:00:00,9.205000,8.196766,5.008085,0.805000,62601068.011660,1.803234,4.508085,8.000000
